                           TxHash                                 TxIx        Amount
--------------------------------------------------------------------------------------
05b0b1ed86324ab641e24f701c53bfa60ec648b5022105aadb0086cc41b348f5     1        7827290 lovelace + TxOutDatumNone
0f7262dba9374e8819a2170516a86b70e3857001f9c0dbe82ebaafcac1c3a676     0        1000000000 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
0f7431986b8318d05d68823c3a6f4b59fc4905927420c8fa33b1ead1ae2f8503     0        3000000 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
1013477e76d2f04dcf61138f98c20eb9d8226b287aba07d928129509180e0755     0        2000000 lovelace + TxOutDatumHash ScriptDataInBabbageEra "48b2e80716b437d3d4258db67e9c731b0e5192f79e120e4013b4fc7f57ecfb24"
13bfb05ab0abe2534134d250a03552f95d438ec5048dc941ba84881d65c8cf56     0        65318050 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
1501b801039572a70aecf09a3147a2a0d060f2ccf1b5eca66b2627533485e0c0     0        200000000 lovelace + TxOutDatumHash ScriptDataInBabbageEra "fcaa61fb85676101d9e3398a484674e71c45c3fd41b492682f3b0054f4cf3273"
18b9a4ea71bd74a4cf26021b44d255da2ba40a41adf03fbb79c640ead5622fbd     0        2400161 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataNumber 42)
193e0fe082b8bc78f328e006e600819f2ba101723fe5452732b97f76f3551b87     1        1094740 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
1e88c7cf03ade4a40635a078dfe1c64744535489323cc8fcfcde9179cf6622d9     0        2400161 lovelace + TxOutDatumHash ScriptDataInBabbageEra "fcaa61fb85676101d9e3398a484674e71c45c3fd41b492682f3b0054f4cf3273"
1ed08badbfdab880b636645f81af29e0e4237bb61138c30824ecbd74cf022610     0        2000161 lovelace + TxOutDatumNone
20117f953462d1dae7cc7619bf7c34ed209567407a4f646452bdaad4075e68fb     0        2400161 lovelace + TxOutDatumNone
2523dd2140a61bfa4dfc6c8008eff88cef409b3b314d6233ce34cd743db8e789     0        3000000 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
29ab362ab50a0c0a9738a310a8d85adb1a438d1e370744c164c82355abfc844f     0        2400161 lovelace + TxOutDatumHash ScriptDataInBabbageEra "fcaa61fb85676101d9e3398a484674e71c45c3fd41b492682f3b0054f4cf3273"
2f2528a631de32f8d4c5f56a870c0801c6419ca14135658627a5e7804dd076b1     0        3000000 lovelace + TxOutDatumHash ScriptDataInBabbageEra "bb30a42c1e62f0afda5f0a4e8a562f7a13a24cea00ee81917b86b89e801314aa"
30386636cd6ed81bd2f6febbca52c33c91a56d47bee3b8ae4bdf9911fc8b8026     0        100000000 lovelace + TxOutDatumNone
304776ecc955f80c186eed0171cda56da735b18a7d6dc68069d9e5458cb8b9a9     0        1094740 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
3276509affebabc01bc7bee802ce172953040ef678221ac9c52a6dd2d0bdf662     0        200000000 lovelace + TxOutDatumHash ScriptDataInBabbageEra "fcaa61fb85676101d9e3398a484674e71c45c3fd41b492682f3b0054f4cf3273"
3361ee966e568657019ea10ca935d29e74990389f397fc71b2553bfdefd9ed0f     0        2000161 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataNumber 42)
3477379a363a5f2bd7c4240f9c74e683767ad8c5fbad30ad0bd5e9da5d9b642c     0        20000000 lovelace + TxOutDatumNone
3d7a8d2e9207cf23b9008493458c57cdb2acfee858bdc35340a3d974eab197f5     0        65318050 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
